path,extension,top_level_area,owner_area,file_kind,authority_class,implementation_class,surface_or_system,active_status,risk_level,line_count,imports_or_dependencies,declared_types_or_headings,uses_legacy_language,uses_forbidden_architecture,contains_user_facing_copy,contains_runtime_truth,contains_ui_truth,contains_release_claims,contains_validation_logic,contains_generated_or_stale_artifact_risk,recommended_action,reason
.agents/AGENTS.md,.md,Agent skill,Agent skill,markdown_doc,active_codex_process_truth,validation_tool,agent_skill,active,Green,7,,Ambitions Repo-Scoped Skills,no,no,no,no,no,no,no,no,retain,"Classified conservatively from path, content, and current authority boundaries."
.agents/skills/ambitions-batch-runner-operator/SKILL.md,.md,Agent skill,Agent skill,markdown_doc,active_codex_process_truth,validation_tool,agent_skill,active,Green,22,,Inputs; Steps; Checks; Rollback,no,no,no,no,no,no,no,no,retain,"Classified conservatively from path, content, and current authority boundaries."
.agents/skills/ambitions-ios-quality-gate/SKILL.md,.md,Agent skill,Agent skill,markdown_doc,active_codex_process_truth,validation_tool,agent_skill,active,Green,13,,Scope note; Required behavior for future use,no,no,yes,no,no,no,no,no,retain,"Classified conservatively from path, content, and current authority boundaries."
.agents/skills/ambitions-no-cost-gate/SKILL.md,.md,Agent skill,Agent skill,markdown_doc,active_codex_process_truth,validation_tool,agent_skill,active,Green,17,,Inputs; Checks; Rollback,no,no,no,no,no,no,no,no,retain,"Classified conservatively from path, content, and current authority boundaries."
.agents/skills/ambitions-release-proof-honesty/SKILL.md,.md,Agent skill,Agent skill,markdown_doc,active_codex_process_truth,validation_tool,agent_skill,active,Yellow,12,,Requirements; Failure handling,no,no,no,no,no,yes,yes,no,retain with proof or extraction plan,"Classified conservatively from path, content, and current authority boundaries."
.agents/skills/ambitions-repo-hygiene-rollback/SKILL.md,.md,Agent skill,Agent skill,markdown_doc,active_codex_process_truth,validation_tool,agent_skill,active,Green,14,,Steps; Exit criteria,no,no,no,no,no,no,no,no,retain,"Classified conservatively from path, content, and current authority boundaries."
.agents/skills/ambitions-source-truth-auditor/SKILL.md,.md,Agent skill,Agent skill,markdown_doc,active_codex_process_truth,validation_tool,agent_skill,active,Green,17,,Inputs; Steps; Output,no,no,no,no,no,no,no,yes,retain,"Classified conservatively from path, content, and current authority boundaries."
.agents/skills/ambitions-subagent-review-template/SKILL.md,.md,Agent skill,Agent skill,markdown_doc,active_codex_process_truth,validation_tool,agent_skill,active,Green,12,,Use; Guardrails,no,no,no,no,no,no,no,no,retain,"Classified conservatively from path, content, and current authority boundaries."
.codex/AGENTS.md,.md,Codex governance,Codex governance,markdown_doc,active_codex_process_truth,validation_tool,codex_control_plane,active,Green,9,,Ambitions .codex AGENTS,no,no,no,no,no,no,no,no,retain,"Classified conservatively from path, content, and current authority boundaries."
.codex/BATCH_TRAIN_REGISTRY.md,.md,Codex governance,Codex governance,markdown_doc,active_codex_process_truth,validation_tool,codex_control_plane,active,Green,187,,Codex Batch Train Registry; Authority; Discovery Sources; Status Vocabulary; Train Families Discovered; Completion Rules,no,no,yes,no,no,no,no,yes,retain,"Classified conservatively from path, content, and current authority boundaries."
