Title,Description,Priority,Status,Labels,Project,Milestone,External ID,Dependencies,Affected files,Acceptance gate,Validation
AMB-FR-001 — Canonical root shell and app chrome integrity,"Severity: Critical
Train: T-A — Shell & IA Lock

Problem:
Root shell expectations and rendered shell affordances are not fully aligned.

Implementation:
Create one canonical shell path for tab host, contextual header rail, continuity ribbon, global capture entry, overlay host, safe-area behavior, accessibility identifiers, and UI smoke tests.

Rollback:
Keep prior TabView shell as a temporary compatibility fallback until tests pass.",P0,Todo,"frontend, swiftui, app-shell, prelaunch",Ambitions Flagship Remediation Program,Shell & IA Lock,AMB-FR-001,,"Native/Ambitions/App, Native/Ambitions/Features, Native/AmbitionsUITests",All five tabs render through one canonical shell path and shell UI tests pass.,"xcodegen generate; xcodebuild test -scheme Ambitions -destination 'platform=iOS Simulator,name=iPhone 16 Pro'; scripts/validate_flagship_remediation.sh"
AMB-FR-002 — Slice AppContainer into bounded capabilities,"Severity: High
Train: T-A — Shell & IA Lock

Problem:
The app container is too dense and risks becoming a service locator.

Implementation:
Split capabilities into shell, runtime, persistence, platform, user system, and feature factory slices. Feature screens should receive only the required slice.

Rollback:
Keep AppContainer as a facade delegating to sliced capabilities.",P0,Todo,"architecture, dependency-injection, prelaunch",Ambitions Flagship Remediation Program,Shell & IA Lock,AMB-FR-002,AMB-FR-001,"Native/Ambitions/App/AppContainer.swift, Native/Ambitions/App",Feature construction is inspectable and no screen imports the full global container unnecessarily.,"Build, dependency review artifact, affected feature tests."
AMB-FR-003 — Retire active legacy IA route seams,"Severity: High
Train: T-A — Shell & IA Lock

Problem:
Legacy route language can leak into active product routes and weaken canonical IA clarity.

Implementation:
Move legacy route compatibility into documented boundary adapters only. Active APIs must use Today, Goals, Capture, Time, and You.

Rollback:
Preserve hidden deep-link compatibility mappings.",P0,Todo,"ia, navigation, canon, prelaunch",Ambitions Flagship Remediation Program,Shell & IA Lock,AMB-FR-003,AMB-FR-001,"Native/Ambitions/App/AppNavigation.swift, Native/Ambitions/App/AppTab.swift, Native/Ambitions/AppIntents",No active user-facing route or app intent exposes deprecated top-level object names except hidden compatibility shims.,"Canon grep/lint, navigation tests, App Intent route tests."
AMB-FR-004 — Shell visual QA and preview matrix,"Severity: High
Train: T-A — Shell & IA Lock

Problem:
Shell polish needs device-visible proof across sizes, Dynamic Type, Reduce Motion, and dark/OLED states.

Implementation:
Add preview matrices and screenshot hooks for all top-level tabs and major shell states.

Rollback:
Keep preview data isolated from production models.",P1,Todo,"frontend, visual-qa, accessibility",Ambitions Flagship Remediation Program,Shell & IA Lock,AMB-FR-004,"AMB-FR-001, AMB-FR-003","Native/Ambitions/UI, Native/Ambitions/Features, Native/AmbitionsUITests",Each tab has preview coverage and screenshot proof path.,"Preview compile, UI screenshot smoke, proof artifact."
AMB-FR-005 — Decontaminate life-context domain fixtures,"Severity: Critical
Train: T-B — Local Data Foundation

Problem:
Domain fixtures may contain off-domain or stale scenario vocabulary.

Implementation:
Replace non-Ambitions fixtures with neutral, privacy-safe Ambitions-native personas. Remove obsolete enum references and fixture bleed.

Rollback:
Archive old fixtures only in docs, never active source.",P0,Todo,"domain, fixtures, runtime, prelaunch",Ambitions Flagship Remediation Program,Local Data Foundation,AMB-FR-005,,"Native/Ambitions/Domain, Native/Ambitions/Runtime, Native/AmbitionsTests",No off-domain fixture vocabulary remains in compiled domain source.,"Build, fixture lint, runtime scenario tests."
AMB-FR-006 — SwiftData temporal and enum type-safety pass,"Severity: Critical
Train: T-B — Local Data Foundation

Problem:
Persistence can become fragile if dates, states, and enums rely on raw strings.

Implementation:
Convert persisted temporal fields to Date where appropriate and isolate raw enum storage to tested adapters.

Rollback:
Add v1-to-v2 migration adapters and backup export path.",P0,Todo,"swiftdata, persistence, migration, prelaunch",Ambitions Flagship Remediation Program,Local Data Foundation,AMB-FR-006,AMB-FR-005,Native/Ambitions/Persistence,Core persisted entities no longer depend on ad hoc string ordering.,"Migration harness, repository round-trip tests, deterministic ordering tests."
AMB-FR-007 — Normalize persistence away from blob-first reads,"Severity: Critical
Train: T-B — Local Data Foundation

Problem:
Snapshot blobs should not be the ordinary read path for key product objects.

Implementation:
Normalize primary fields for goals, steps, receipts, context, closure, recovery, and time placement. Keep snapshots for audit/export boundaries.

Rollback:
Maintain snapshot fallback for one migration cycle.",P0,Todo,"swiftdata, persistence, architecture, prelaunch",Ambitions Flagship Remediation Program,Local Data Foundation,AMB-FR-007,AMB-FR-006,Native/Ambitions/Persistence,"Today, Goals, Time, and You reads do not require decoding whole object snapshots.","Repository query tests, performance baseline, storage comparison."
AMB-FR-008 — Explicit schema migration and store recovery system,"Severity: Critical
Train: T-B — Local Data Foundation

Problem:
The store needs explicit migration, recovery, corruption handling, and proof artifacts.

Implementation:
Add schema versioning, migration plans, seeded historical stores, corruption handling, recovery mode, and migration receipts.

Rollback:
Export backup before migration and support explicit safe reset.",P0,Todo,"swiftdata, migration, data-integrity, prelaunch",Ambitions Flagship Remediation Program,Local Data Foundation,AMB-FR-008,"AMB-FR-006, AMB-FR-007","Native/Ambitions/Persistence, Native/AmbitionsTests/Persistence",Every persisted model revision has a tested upgrade path.,"Migration matrix, seeded old-store upgrade tests, corrupt-store simulation."
AMB-FR-009 — Repository query performance and deterministic ordering gates,"Severity: High
Train: T-B — Local Data Foundation

Problem:
Core local reads need reliable ordering and bounded query work.

Implementation:
Add deterministic sorting, query limits, large fixtures, and budget gates for repository calls.

Rollback:
Keep old repository methods as deprecated internal helpers.",P1,Todo,"persistence, performance, testing",Ambitions Flagship Remediation Program,Local Data Foundation,AMB-FR-009,"AMB-FR-007, AMB-FR-008","Native/Ambitions/Persistence, Native/AmbitionsTests/Persistence",Core repository reads have deterministic ordering and measured budgets.,Repository benchmark tests and deterministic result snapshots.
AMB-FR-010 — Structured life context and Memory Lens data basis,"Severity: High
Train: T-B — Local Data Foundation

Problem:
You and Memory Lens need structured, editable, provenance-aware local data.

Implementation:
Back memory/profile/life-context display with structured local records, provenance, confidence, edit/reset controls, and privacy-safe indexing.

Rollback:
Keep projected summaries as display fallback.",P1,Todo,"you, memory, privacy, persistence",Ambitions Flagship Remediation Program,Local Data Foundation,AMB-FR-010,"AMB-FR-005, AMB-FR-007","Native/Ambitions/Features/You, Native/Ambitions/Domain, Native/Ambitions/Persistence","User can inspect, edit, reset, and understand local life-context records.","You feature tests, reset tests, provenance rendering tests, privacy redaction tests."
